2022-11-02 14:12:43.169 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.weiho.scaffold.system.service.NoticeServiceTest], using SpringBootContextLoader
2022-11-02 14:13:31.256 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5443d039, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@63787180, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@7d1cfb8b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@48e92c5c, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2e1ef60, org.springframework.test.context.support.DirtiesContextTestExecutionListener@22356acd, org.springframework.test.context.transaction.TransactionalTestExecutionListener@386f0da3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@39655d3e, org.springframework.test.context.event.EventPublishingTestExecutionListener@34f22f9d, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@3d1848cc, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@7dda48d9, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6e4566f1, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4b6e2263, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@344f4dea, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1b7c473a, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5e4bd84a, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@648c94da]
2022-11-02 14:13:31.786 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-11-02 14:13:31.793 [main] INFO  c.weiho.scaffold.system.service.NoticeServiceTest - Starting NoticeServiceTest using Java 1.8.0_144 on LAPTOP-SR0899OB with PID 21660 (started by Weiho in E:\Graduation_ChouChou\Scaffold-Weiho\Scaffold\scaffold-system)
2022-11-02 14:13:31.794 [main] DEBUG c.weiho.scaffold.system.service.NoticeServiceTest - Running with Spring Boot v2.7.0, Spring v5.3.20
2022-11-02 14:13:31.795 [main] INFO  c.weiho.scaffold.system.service.NoticeServiceTest - No active profile set, falling back to 1 default profile: "default"
2022-11-02 14:13:33.079 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-11-02 14:13:33.082 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-11-02 14:13:33.119 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 23 ms. Found 0 Redis repository interfaces.
2022-11-02 14:13:34.727 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 0 (http)
2022-11-02 14:13:34.739 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-auto-1"]
2022-11-02 14:13:34.740 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-11-02 14:13:34.740 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2022-11-02 14:13:34.911 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-11-02 14:13:34.911 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3077 ms
2022-11-02 14:13:35.441 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2022-11-02 14:13:35.974 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-11-02 14:13:39.430 [main] INFO  c.w.scaffold.common.config.swagger.SwaggerConfig - Swagger -> [Swagger接口文档分组 '需要token验证' 初始化]
2022-11-02 14:13:39.463 [main] INFO  c.w.scaffold.common.config.swagger.SwaggerConfig - Swagger -> [Swagger接口文档分组 '不需要token验证' 初始化]
2022-11-02 14:13:40.627 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@22ee1ad7, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5dd2ea0a, org.springframework.security.web.context.SecurityContextPersistenceFilter@69e8b711, org.springframework.security.web.header.HeaderWriterFilter@b386a17, org.springframework.security.web.authentication.logout.LogoutFilter@3c9c91e3, org.springframework.web.filter.CorsFilter@45984654, com.weiho.scaffold.system.security.token.filter.TokenFilter@65fa4a07, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@58932d08, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6c2be147, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@782143e8, org.springframework.security.web.session.SessionManagementFilter@fc21ff4, org.springframework.security.web.access.ExceptionTranslationFilter@556843a5, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7d15c513]
2022-11-02 14:13:40.960 [main] INFO  com.weiho.scaffold.redis.config.RedisConfig - Redis -> [Redis缓存错误处理程序初始化]
2022-11-02 14:13:41.821 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-auto-1"]
2022-11-02 14:13:41.847 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-11-02 14:13:41.847 [main] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-11-02 14:13:41.849 [main] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2022-11-02 14:13:41.850 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 22021 (http) with context path ''
2022-11-02 14:13:42.427 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [192.168.137.128:5672]
2022-11-02 14:13:42.537 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#204c5ddf:0/SimpleConnection@45a05350 [delegate=amqp://admin@192.168.137.128:5672/, localPort= 22024]
2022-11-02 14:13:42.604 [main] INFO  c.weiho.scaffold.system.service.NoticeServiceTest - Started NoticeServiceTest in 11.307 seconds (JVM running for 12.774)
2022-11-02 14:13:43.012 [main] DEBUG c.w.scaffold.system.mapper.NoticeMapper.selectList - ==>  Preparing: SELECT id,type,title,content,user_id,is_overdue,create_time,update_time,is_del FROM notice WHERE is_del=0 AND ((title LIKE ? OR content LIKE ?))
2022-11-02 14:13:43.032 [main] DEBUG c.w.scaffold.system.mapper.NoticeMapper.selectList - ==> Parameters: %人员%(String), %人员%(String)
2022-11-02 14:13:43.049 [main] DEBUG c.w.scaffold.system.mapper.NoticeMapper.selectList - <==      Total: 1
2022-11-02 14:13:43.076 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2022-11-02 14:13:43.596 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2022-11-02 14:13:43.798 [SpringApplicationShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is already stopped
2022-11-02 14:13:43.799 [SpringApplicationShutdownHook] INFO  c.w.s.common.util.spring.SpringContextHolder - SpringContextHolder -> [清除SpringContextHolder中的ApplicationContext:org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@6928f576, started on Wed Nov 02 14:13:31 GMT+08:00 2022]
2022-11-02 14:13:43.822 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2022-11-02 14:13:43.829 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-11-02 14:22:31.332 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.weiho.scaffold.system.service.NoticeServiceTest], using SpringBootContextLoader
2022-11-02 14:22:31.340 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.weiho.scaffold.system.service.NoticeServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-11-02 14:22:31.341 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.weiho.scaffold.system.service.NoticeServiceTest]: NoticeServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-11-02 14:22:31.515 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.weiho.scaffold.system.AppRun for test class com.weiho.scaffold.system.service.NoticeServiceTest
2022-11-02 14:22:31.673 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener]
2022-11-02 14:22:31.743 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5443d039, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@63787180, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@7d1cfb8b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@48e92c5c, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2e1ef60, org.springframework.test.context.support.DirtiesContextTestExecutionListener@22356acd, org.springframework.test.context.transaction.TransactionalTestExecutionListener@386f0da3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@39655d3e, org.springframework.test.context.event.EventPublishingTestExecutionListener@34f22f9d, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@3d1848cc, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@7dda48d9, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6e4566f1, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4b6e2263, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@344f4dea, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1b7c473a, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5e4bd84a, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@648c94da]
2022-11-02 14:22:32.264 [main] INFO  c.weiho.scaffold.system.service.NoticeServiceTest - Starting NoticeServiceTest using Java 1.8.0_144 on LAPTOP-SR0899OB with PID 10248 (started by Weiho in E:\Graduation_ChouChou\Scaffold-Weiho\Scaffold\scaffold-system)
2022-11-02 14:22:32.265 [main] DEBUG c.weiho.scaffold.system.service.NoticeServiceTest - Running with Spring Boot v2.7.0, Spring v5.3.20
2022-11-02 14:22:32.265 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-11-02 14:22:32.265 [main] INFO  c.weiho.scaffold.system.service.NoticeServiceTest - No active profile set, falling back to 1 default profile: "default"
2022-11-02 14:22:33.780 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-11-02 14:22:33.785 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-11-02 14:22:33.820 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 21 ms. Found 0 Redis repository interfaces.
2022-11-02 14:22:35.616 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 0 (http)
2022-11-02 14:22:35.632 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-auto-1"]
2022-11-02 14:22:35.632 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-11-02 14:22:35.633 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2022-11-02 14:22:35.787 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-11-02 14:22:35.787 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3484 ms
2022-11-02 14:22:36.347 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2022-11-02 14:22:36.874 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-11-02 14:22:40.774 [main] INFO  c.w.scaffold.common.config.swagger.SwaggerConfig - Swagger -> [Swagger接口文档分组 '需要token验证' 初始化]
2022-11-02 14:22:40.819 [main] INFO  c.w.scaffold.common.config.swagger.SwaggerConfig - Swagger -> [Swagger接口文档分组 '不需要token验证' 初始化]
